                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.84371,                 1.1961,                 1.1451,                0.31744,                0.70586,                0.45012,                  0.276,                 1.2238,                 2.2606,                 1.5845,             0.00048604,             0.00048604,             0.00048604
                     49,                0.83801,                 1.1477,                 1.1574,                0.28041,                0.76264,                0.43389,                0.27051,                 1.1634,                 2.3552,                 1.5049,             0.00047704,             0.00047704,             0.00047704
                     50,                0.85711,                 1.1983,                 1.1475,                0.28873,                0.70263,                0.50726,                0.32344,                 1.2192,                 2.1797,                   1.59,             0.00046804,             0.00046804,             0.00046804
                     51,                0.83796,                 1.1541,                 1.1395,                0.50049,                0.45102,                0.53102,                0.35199,                 1.1739,                  1.978,                 1.5288,             0.00045904,             0.00045904,             0.00045904
                     52,                0.82313,                  1.143,                 1.1305,                0.36636,                0.55847,                0.46237,                 0.3099,                 1.1585,                 2.3316,                 1.5188,             0.00045005,             0.00045005,             0.00045005
                     53,                0.81535,                 1.1229,                 1.1522,                0.33791,                0.72383,                0.52988,                 0.3351,                 1.1918,                 2.1018,                  1.541,             0.00044105,             0.00044105,             0.00044105
                     54,                0.79536,                 1.1283,                 1.1257,                0.42595,                0.60478,                0.53292,                0.32888,                 1.2172,                 1.9279,                 1.5538,             0.00043205,             0.00043205,             0.00043205
                     55,                0.73009,                 1.0139,                 1.1004,                0.43329,                0.62968,                0.52561,                0.32934,                 1.2574,                 2.0988,                 1.6075,             0.00042305,             0.00042305,             0.00042305
                     56,                0.78195,                 1.0678,                 1.1073,                0.52413,                0.37952,                0.48524,                0.31549,                 1.2307,                 2.1689,                 1.5997,             0.00041405,             0.00041405,             0.00041405
                     57,                0.77442,                 1.0634,                 1.1155,                0.40749,                0.67754,                0.53358,                0.36344,                 1.2224,                 1.9383,                 1.6218,             0.00040505,             0.00040505,             0.00040505
                     58,                0.79081,                 1.0362,                 1.1102,                0.33216,                0.65202,                0.49277,                0.30943,                 1.2889,                 2.3855,                 1.6111,             0.00039605,             0.00039605,             0.00039605
                     59,                0.79817,                 1.0911,                 1.1263,                0.53937,                0.41343,                0.55064,                0.36542,                 1.2351,                 2.1174,                 1.5728,             0.00038705,             0.00038705,             0.00038705
                     60,                0.75684,                 1.0134,                 1.0869,                0.45919,                0.56815,                0.56693,                0.36345,                 1.1903,                 2.0546,                  1.555,             0.00037805,             0.00037805,             0.00037805
                     61,                0.77219,                0.99398,                 1.1211,                0.41903,                0.65273,                0.54603,                0.36422,                 1.2397,                 1.9958,                 1.6043,             0.00036905,             0.00036905,             0.00036905
                     62,                0.73453,                0.93303,                 1.0929,                0.39746,                0.70734,                0.56524,                 0.3763,                 1.2292,                 2.1616,                 1.5955,             0.00036005,             0.00036005,             0.00036005
                     63,                 0.7476,                0.93736,                 1.0904,                0.40671,                0.61297,                0.54321,                0.34227,                 1.2587,                 2.0746,                 1.6126,             0.00035106,             0.00035106,             0.00035106
                     64,                0.72697,                0.93814,                 1.0914,                0.56495,                0.42141,                0.52585,                0.33311,                 1.2714,                 2.2321,                 1.6706,             0.00034206,             0.00034206,             0.00034206
                     65,                0.70654,                0.87675,                 1.0658,                0.52936,                0.58792,                0.55267,                0.35779,                 1.3438,                 2.3746,                 1.7419,             0.00033306,             0.00033306,             0.00033306
                     66,                0.75255,                0.96449,                 1.0897,                0.34917,                0.69954,                0.44028,                0.27827,                 1.2917,                 2.0752,                 1.7101,             0.00032406,             0.00032406,             0.00032406
                     67,                0.69696,                  0.871,                 1.0902,                0.46142,                 0.5767,                0.51427,                0.33442,                 1.2106,                 2.1761,                 1.6182,             0.00031506,             0.00031506,             0.00031506
                     68,                0.71595,                0.89493,                 1.0784,                0.40482,                0.62643,                0.53563,                0.33932,                 1.2002,                 2.5614,                 1.5907,             0.00030606,             0.00030606,             0.00030606
                     69,                0.69585,                0.87574,                 1.0805,                0.41996,                0.62729,                0.51728,                0.32165,                 1.1895,                 2.2336,                 1.6025,             0.00029706,             0.00029706,             0.00029706
                     70,                0.70228,                0.85128,                 1.0856,                0.36854,                0.73638,                0.52967,                0.33029,                 1.1921,                 2.2455,                 1.5992,             0.00028806,             0.00028806,             0.00028806
                     71,                0.67873,                0.83523,                  1.062,                0.43823,                0.65189,                0.55009,                0.35553,                 1.2556,                 2.1355,                 1.6372,             0.00027906,             0.00027906,             0.00027906
                     72,                0.71971,                0.89625,                 1.0768,                0.42953,                0.70214,                0.55468,                0.35649,                 1.2015,                 2.0288,                 1.6124,             0.00027006,             0.00027006,             0.00027006
                     73,                0.66844,                 0.7837,                 1.0623,                0.46974,                0.66565,                0.53914,                0.32842,                 1.1747,                 2.3152,                 1.5992,             0.00026106,             0.00026106,             0.00026106
                     74,                0.66155,                0.78586,                 1.0295,                0.51762,                0.46469,                0.55118,                 0.3347,                 1.2786,                 2.6121,                 1.6823,             0.00025207,             0.00025207,             0.00025207
                     75,                0.66874,                0.82705,                 1.0579,                0.56785,                0.51336,                0.58962,                0.37535,                 1.2777,                 2.4057,                 1.6747,             0.00024307,             0.00024307,             0.00024307
                     76,                0.66905,                0.79813,                 1.0505,                0.64818,                0.56345,                0.61663,                0.39611,                 1.2924,                 1.8249,                 1.6975,             0.00023407,             0.00023407,             0.00023407
                     77,                0.64285,                0.77362,                 1.0233,                0.49867,                0.60795,                0.54576,                0.34641,                 1.2673,                  1.816,                 1.6766,             0.00022507,             0.00022507,             0.00022507
                     78,                0.71271,                0.84461,                 1.0894,                0.31651,                0.74644,                 0.4289,                0.27857,                 1.2137,                 2.3302,                 1.5934,             0.00021607,             0.00021607,             0.00021607
                     79,                 0.6232,                0.73104,                 1.0356,                0.41249,                0.50159,                0.44844,                0.28492,                 1.2071,                 2.4887,                 1.5973,             0.00020707,             0.00020707,             0.00020707
                     80,                0.61411,                 0.7837,                 1.0432,                0.36563,                0.58174,                0.48184,                0.30789,                  1.231,                 2.4065,                 1.6302,             0.00019807,             0.00019807,             0.00019807
                     81,                0.61568,                0.72665,                 1.0501,                0.44003,                0.51195,                0.50383,                0.31707,                 1.1971,                 2.3319,                 1.6245,             0.00018907,             0.00018907,             0.00018907
                     82,                0.61867,                0.74581,                 1.0343,                0.51167,                0.49871,                0.55191,                0.34741,                 1.2169,                 2.1452,                  1.613,             0.00018007,             0.00018007,             0.00018007
                     83,                0.63439,                0.76319,                 1.0316,                0.58478,                0.54106,                0.58549,                0.36848,                 1.2002,                  2.022,                 1.6019,             0.00017107,             0.00017107,             0.00017107
                     84,                0.61944,                0.74706,                 1.0245,                0.55456,                0.61611,                0.59154,                0.37389,                 1.1767,                 1.9532,                 1.5973,             0.00016207,             0.00016207,             0.00016207
                     85,                0.63684,                0.72127,                 1.0366,                0.52814,                 0.5923,                0.55156,                0.33792,                 1.1971,                 2.1373,                 1.6378,             0.00015308,             0.00015308,             0.00015308
                     86,                0.59984,                 0.6775,                 1.0099,                0.59933,                0.40147,                0.54481,                0.33875,                 1.1891,                 2.3441,                 1.6113,             0.00014408,             0.00014408,             0.00014408
                     87,                0.59667,                0.66313,                 1.0279,                0.62943,                0.38115,                0.54892,                0.35764,                 1.1948,                 2.4154,                 1.6137,             0.00013508,             0.00013508,             0.00013508
                     88,                 0.5811,                0.68563,                 1.0099,                0.57886,                0.49485,                0.53407,                0.34905,                 1.2271,                 2.3185,                 1.6524,             0.00012608,             0.00012608,             0.00012608
                     89,                0.59568,                0.66342,                 1.0315,                0.49311,                0.58583,                0.56484,                0.37637,                  1.197,                 2.2926,                  1.633,             0.00011708,             0.00011708,             0.00011708
                     90,                 0.5565,                0.66659,                 1.0022,                0.55249,                0.49853,                0.53096,                0.34962,                 1.2203,                 2.3312,                 1.6397,             0.00010808,             0.00010808,             0.00010808
